Date,Price,Open,High,Low ,Vol.,Change %
"Mar 16, 2015","10,881.18","10,787.47","10,883.78","10,787.47","-"   ,"1.21%"
"Mar 13, 2015","10,751.02","10,784.09","10,784.09","10,677.59","-"   ,"-0.65%"
"Mar 12, 2015","10,820.87","10,734.71","10,821.24","10,734.71","-"   ,"1.33%"
"Mar 11, 2015","10,678.76","10,686.65","10,705.97","10,659.03","-"   ,"0.00%"
"Mar 10, 2015","10,678.41","10,802.50","10,802.50","10,678.39","-"   ,"-1.73%"
"Mar 09, 2015","10,866.62","10,846.05","10,885.08","10,845.98","-"   ,"0.23%"
"Mar 06, 2015","10,842.17","10,964.23","10,964.23","10,826.45","-"   ,"-1.56%"
"Mar 05, 2015","11,014.26","11,014.71","11,036.20","10,992.17","-"   ,"0.09%"
"Mar 04, 2015","11,004.68","11,018.80","11,018.80","10,941.14","-"   ,"-0.42%"
"Mar 03, 2015","11,051.22","11,090.77","11,090.77","11,012.66","-"   ,"-0.46%"
"Mar 02, 2015","11,102.82","11,053.66","11,103.34","11,052.29","-"   ,"0.36%"
"Feb 27, 2015","11,062.79","11,078.54","11,100.24","11,062.12","-"   ,"-0.17%"
"Feb 26, 2015","11,082.10","11,111.84","11,111.84","11,053.86","-"   ,"-0.32%"
"Feb 25, 2015","11,117.93","11,119.64","11,142.56","11,097.79","-"   ,"-0.04%"
"Feb 24, 2015","11,122.11","11,082.13","11,133.78","11,070.57","-"   ,"0.43%"
"Feb 23, 2015","11,074.58","11,091.46","11,091.46","11,047.21","-"   ,"-0.31%"
"Feb 20, 2015","11,108.67","11,025.27","11,111.41","10,976.29","-"   ,"0.64%"
"Feb 19, 2015","11,038.26","11,027.00","11,064.62","11,010.15","-"   ,"-0.23%"
"Feb 18, 2015","11,064.09","11,054.46","11,064.13","11,018.97","-"   ,"0.09%"
"Feb 17, 2015","11,054.46","11,042.78","11,070.07","11,001.03","-"   ,"0.11%"
"Feb 13, 2015","11,042.69","11,009.87","11,045.93","11,000.78","-"   ,"0.43%"
"Feb 12, 2015","10,995.31","10,924.19","10,997.12","10,924.19","-"   ,"0.98%"
"Feb 11, 2015","10,889.05","10,883.91","10,907.81","10,831.52","-"   ,"-0.24%"
"Feb 10, 2015","10,915.14","10,860.71","10,924.65","10,811.27","-"   ,"0.82%"
"Feb 09, 2015","10,826.59","10,831.04","10,862.88","10,803.97","-"   ,"-0.19%"
"Feb 06, 2015","10,847.51","10,903.29","10,931.76","10,820.83","-"   ,"-0.45%"
"Feb 05, 2015","10,896.06","10,821.35","10,901.22","10,820.57","-"   ,"1.12%"
"Feb 04, 2015","10,775.04","10,803.49","10,843.85","10,753.98","-"   ,"-0.67%"
"Feb 03, 2015","10,847.41","10,721.57","10,847.44","10,721.57","-"   ,"1.67%"
"Feb 02, 2015","10,669.03","10,567.96","10,676.44","10,495.71","-"   ,"1.25%"
"Jan 30, 2015","10,537.22","10,636.04","10,670.18","10,532.55","-"   ,"-1.44%"
"Jan 29, 2015","10,691.63","10,617.89","10,703.12","10,546.75","-"   ,"0.83%"
"Jan 28, 2015","10,603.86","10,797.23","10,804.17","10,596.88","-"   ,"-1.65%"
"Jan 27, 2015","10,781.83","10,793.04","10,830.20","10,718.85","-"   ,"-0.60%"
"Jan 26, 2015","10,847.15","10,787.30","10,848.04","10,748.73","-"   ,"0.55%"
"Jan 23, 2015","10,788.33","10,854.23","10,854.23","10,784.57","-"   ,"-0.65%"
